ar                   ,en             ,Part of Speech ,Notes              ,Related                    ,
الليل                ,night          ,Noun           ,                   ,                           ,
التسعة               ,nine           ,Noun           ,                   ,                           ,
التسعة عشر           ,nineteen       ,Noun           ,                   ,                           ,
التسعين              ,ninety         ,Noun           ,                   ,                           ,
لا                   ,no             ,Noun           ,                   ,                           ,
ولا                  ,nor            ,Conjunction    ,                   ,                           ,
الشمال               ,north          ,Noun           ,                   ,                           ,
الانف                ,nose           ,Noun           ,                   ,                           ,
المذكرة              ,note           ,Noun           ,on paper           ,                           ,
اللاشيء              ,nothing        ,Noun           ,                   ,                           ,
النووي               ,nuclear        ,Noun           ,                   ,                           ,
الرقم                ,number         ,Noun           ,                   ,                           ,
المحيط               ,ocean          ,Noun           ,                   ,                           ,
المكتب               ,office         ,Noun           ,                   ,                           ,
الزيت                ,oil            ,Noun           ,                   ,                           ,
القديم               ,old            ,Noun           ,/new               ,                           ,
القديم               ,old            ,Noun           ,/young             ,                           ,
الواحد               ,one            ,Noun           ,                   ,                           ,
المائة               ,one hundred    ,Noun           ,                   ,                           ,
المليون              ,one million    ,Noun           ,                   ,                           ,
الألف                ,one thousand   ,Noun           ,                   ,                           ,
أو                   ,or             ,Conjunction    ,                   ,                           ,
البرتقالة            ,orange         ,Noun           ,color              ,                           ,
البرتقالة            ,orange         ,Noun           ,food               ,                           ,
الخارج               ,outside        ,Noun           ,                   ,                           ,
الصفحة               ,page           ,Noun           ,                   ,                           ,
الألم                ,pain           ,Noun           ,                   ,                           ,
الطلاء               ,paint          ,Noun           ,                   ,                           ,
السراويل             ,pants          ,Noun           ,                   ,                           ,
الورقة               ,paper          ,Noun           ,                   ,                           ,
الاباء               ,parent         ,Noun           ,                   ,                           ,
الحديقة              ,park           ,Noun           ,location           ,                           ,
المريض               ,patient        ,Noun           ,                   ,                           ,
النمط                ,pattern        ,Noun           ,                   ,                           ,
السلام               ,peace          ,Noun           ,                   ,                           ,
القلم                ,pen            ,Noun           ,                   ,                           ,
القلم                ,pencil         ,Noun           ,                   ,                           ,
الشخص                ,person         ,Noun           ,                   ,                           ,
الهاتف               ,phone          ,Noun           ,                   ,                           ,
الصورة               ,photograph     ,Noun           ,                   ,                           ,
القطعة               ,piece          ,Noun           ,                   ,                           ,
الخنزير              ,pig            ,Noun           ,                   ,                           ,
وردي                 ,pink           ,Noun           ,                   ,                           ,
الخطة                ,plan           ,Noun           ,                   ,                           ,
الطائرة              ,plane          ,Noun           ,                   ,                           ,
النبات               ,plant          ,Noun           ,                   ,                           ,
البلاستيك            ,plastic        ,Noun           ,                   ,                           ,
الطبق                ,plate          ,Noun           ,                   ,                           ,
اللاعب               ,player         ,Noun           ,                   ,                           ,
الجيب                ,pocket         ,Noun           ,                   ,                           ,
السم                 ,poison         ,Noun           ,                   ,                           ,
الشرطة               ,police         ,Noun           ,                   ,                           ,
المسبح               ,pool           ,Noun           ,                   ,                           ,
الفقير               ,poor           ,Noun           ,                   ,                           ,
لحم الخنزير          ,pork           ,Noun           ,                   ,                           ,
ربما                 ,possibly       ,Adverb         ,                   ,                           ,
الجنيه               ,pound          ,Noun           ,weight             ,                           ,
الرئيس               ,president      ,Noun           ,                   ,                           ,
السعر                ,price          ,Noun           ,                   ,                           ,
الكاهن               ,priest         ,Noun           ,                   ,                           ,
السجن                ,prison         ,Noun           ,                   ,                           ,
خاص                  ,private        ,Adjective      ,                   ,                           ,
البرنامج             ,program        ,Noun           ,computer           ,                           ,
عام                  ,public         ,Adjective      ,                   ,                           ,
الملكة               ,queen          ,Noun           ,                   ,                           ,
الهدوء               ,quiet          ,Noun           ,                   ,                           ,
السباق               ,race           ,Noun           ,ethnicity          ,                           ,
السباق               ,race           ,Noun           ,sport              ,                           ,
الراديو              ,radio          ,Noun           ,                   ,                           ,
المطر                ,rain           ,Noun           ,                   ,                           ,
الاحمر               ,red            ,Noun           ,                   ,                           ,
الدين                ,religion       ,Noun           ,                   ,                           ,
المراسل              ,reporter       ,Noun           ,                   ,                           ,
المطعم               ,restaurant     ,Noun           ,                   ,                           ,
الرز                 ,rice           ,Noun           ,                   ,                           ,
الغني                ,rich           ,Noun           ,                   ,                           ,
الحق                 ,right          ,Noun           ,direction          ,                           ,
الخاتم               ,ring           ,Noun           ,                   ,                           ,
النهر                ,river          ,Noun           ,                   ,                           ,
السطح                ,roof           ,Noun           ,                   ,                           ,
الغرفة               ,room           ,Noun           ,in a house         ,                           ,
الجذر                ,root           ,Noun           ,                   ,                           ,
الحزن                ,sad            ,Noun           ,                   ,                           ,
الملح                ,salt           ,Noun           ,                   ,                           ,
الرمل                ,sand           ,Noun           ,                   ,                           ,
المدرسة              ,school         ,Noun           ,                   ,                           ,
العلم                ,science        ,Noun           ,                   ,                           ,
الشاشة               ,screen         ,Noun           ,                   ,                           ,
البحر                ,sea            ,Noun           ,                   ,                           ,
الفصل                ,season         ,Noun           ,                   ,                           ,
الثاني               ,second         ,Noun           ,2nd                ,                           ,
الثاني               ,second         ,Noun           ,time               ,                           ,
السكرتارية           ,secretary      ,Noun           ,                   ,                           ,
البذور               ,seed           ,Noun           ,                   ,                           ,
السبع                ,seven          ,Noun           ,                   ,                           ,
السبعة عشر           ,seventeen      ,Noun           ,                   ,                           ,
السبعين              ,seventy        ,Noun           ,                   ,                           ,
الجنس                ,sex            ,Noun           ,act                ,                           ,
الجنس                ,sex            ,Noun           ,gender             ,                           ,
الضحلة               ,shallow        ,Noun           ,                   ,                           ,
هي                   ,she            ,Noun           ,                   ,"her, hers, herself"       ,
السفينة              ,ship           ,Noun           ,                   ,                           ,
القميص               ,shirt          ,Noun           ,                   ,                           ,
الأحذية              ,shoes          ,Noun           ,                   ,                           ,
قصيرة                ,short          ,Adjective      ,long               ,                           ,
قصيرة                ,short          ,Adjective      ,vs. tall           ,                           ,
الكتف                ,shoulder       ,Noun           ,                   ,                           ,
المرضى               ,sick           ,Noun           ,                   ,                           ,
الجانب               ,side           ,Noun           ,                   ,                           ,
الإشارة              ,sign           ,Noun           ,                   ,                           ,
الفضة                ,silver         ,Noun           ,                   ,                           ,
الأخت                ,sister         ,Noun           ,                   ,                           ,
ستة                  ,six            ,Noun           ,                   ,                           ,
الستة عشر            ,sixteen        ,Noun           ,                   ,                           ,
الستين               ,sixty          ,Noun           ,                   ,                           ,
الجلد                ,skin           ,Noun           ,                   ,                           ,
التنورة              ,skirt          ,Noun           ,                   ,                           ,
السماء               ,sky            ,Noun           ,                   ,                           ,
البطئ                ,slow           ,Noun           ,                   ,                           ,
الصغير / الصغير      ,small/little   ,Noun           ,                   ,                           ,
الثلج                ,snow           ,Noun           ,                   ,                           ,
الصابون              ,soap           ,Noun           ,                   ,                           ,
اللين                ,soft           ,Noun           ,                   ,                           ,
التربة / الأرض       ,soil/earth     ,Noun           ,                   ,                           ,
الجندي               ,soldier        ,Noun           ,                   ,                           ,
الإبن                ,son            ,Noun           ,                   ,                           ,
الأغنية              ,song           ,Noun           ,                   ,                           ,
الصوت                ,sound          ,Noun           ,                   ,                           ,
الحساء               ,soup           ,Noun           ,                   ,                           ,
الجنوب               ,south          ,Noun           ,                   ,                           ,
الفضاء               ,space          ,Noun           ,outer space        ,                           ,
الملعقة              ,spoon          ,Noun           ,                   ,                           ,
الرياضة              ,sport          ,Noun           ,                   ,                           ,
الربيع               ,spring         ,Noun           ,season             ,                           ,
المربع               ,square         ,Noun           ,                   ,                           ,
وصمة عار             ,stain          ,Noun           ,                   ,                           ,
النجم                ,star           ,Noun           ,                   ,                           ,
المحطة               ,station        ,Noun           ,                   ,                           ,
الحجر                ,stone          ,Noun           ,                   ,                           ,
المتجر / المحل       ,store/shop     ,Noun           ,                   ,                           ,
المستقيم             ,straight       ,Noun           ,                   ,                           ,
الشارع / الطريق      ,street/road    ,Noun           ,                   ,                           ,
القوي                ,strong         ,Noun           ,                   ,                           ,
الطالب               ,student        ,Noun           ,                   ,                           ,
السكر                ,sugar          ,Noun           ,                   ,                           ,
البدلة               ,suit           ,Noun           ,                   ,                           ,
الصيف                ,summer         ,Noun           ,                   ,                           ,
الشمس                ,sun            ,Noun           ,                   ,                           ,
الحلو                ,sweat          ,Noun           ,                   ,                           ,
الطاولة              ,table          ,Noun           ,                   ,                           ,
الطويل               ,tall           ,Noun           ,                   ,                           ,
الشاي                ,tea            ,Noun           ,                   ,                           ,
المعلم               ,teacher        ,Noun           ,                   ,                           ,
الفريق               ,team           ,Noun           ,                   ,                           ,
المسيل للدموع        ,tear           ,Noun           ,drop               ,                           ,
التكنولوجيا          ,technology     ,Noun           ,                   ,                           ,
الهاتف_              ,telephone_     ,Noun           ,                   ,                           ,
التلفاز              ,television     ,Noun           ,                   ,                           ,
درجة الحرارة         ,temperature    ,Noun           ,                   ,                           ,
العشرة               ,ten            ,Noun           ,                   ,                           ,
العشرة آلاف          ,ten thousand   ,Noun           ,                   ,                           ,
المسرح               ,theater        ,Noun           ,                   ,                           ,
أنهم                 ,they           ,Pronoun        ,                   ,"them, their, theirs"      ,
السميك               ,thick          ,Noun           ,                   ,                           ,
رقيقة                ,thin           ,Noun           ,                   ,                           ,
الثالث               ,third          ,Noun           ,3rd                ,                           ,
الثلاثة عشر          ,thirteen       ,Noun           ,                   ,                           ,
الثلاثين             ,thirty         ,Noun           ,                   ,                           ,
الألف                ,thousand       ,Noun           ,                   ,                           ,
الثلاثة              ,three          ,Noun           ,                   ,                           ,
التذكرة              ,ticket         ,Noun           ,train              ,                           ,
ضيق                  ,tight          ,Noun           ,                   ,                           ,
الوقت                ,time           ,Noun           ,                   ,                           ,
الاطارات             ,tire           ,Noun           ,of a car           ,                           ,
أن تكون              ,to be          ,Verb           ,                   ,                           ,
ليهزم                ,to beat        ,Verb           ,                   ,                           ,
لتبدأ                ,to begin       ,Verb           ,                   ,                           ,
للانحناء             ,to bend        ,Verb           ,                   ,                           ,
خرق                  ,to break       ,Verb           ,                   ,                           ,
حتى الغليان          ,to boil        ,Verb           ,                   ,                           ,
لبناء                ,to build       ,Verb           ,                   ,                           ,
ليحرق                ,to burn        ,Verb           ,                   ,                           ,
للشراء               ,to buy         ,Verb           ,                   ,                           ,
للإتصال              ,to call        ,Verb           ,                   ,                           ,
ليحمل                ,to carry       ,Verb           ,                   ,                           ,
لالغاء               ,to cancel      ,Verb           ,                   ,                           ,
يعتني                ,to care        ,Verb           ,                   ,                           ,
للإمساك              ,to catch       ,Verb           ,                   ,                           ,
لتسبب                ,to cause       ,Verb           ,                   ,                           ,
لينظف                ,to clean       ,Verb           ,                   ,                           ,
لإغلاق               ,to close       ,Verb           ,                   ,                           ,
ليأتي                ,to come        ,Verb           ,                   ,                           ,
لمقارنة              ,to compare     ,Verb           ,                   ,                           ,
للمنافسة             ,to compete     ,Verb           ,                   ,                           ,
للاتصال              ,to connect     ,Verb           ,                   ,                           ,
للطبخ                ,to cook        ,Verb           ,                   ,                           ,
للعد                 ,to count       ,Verb           ,                   ,                           ,
يبكي                 ,to cry         ,Verb           ,                   ,                           ,
لقطع                 ,to cut         ,Verb           ,                   ,                           ,
للرقص                ,to dance       ,Verb           ,                   ,                           ,
ليستحق               ,to deserve     ,Verb           ,                   ,                           ,
حتى الموت            ,to die         ,Verb           ,                   ,                           ,
لحفر                 ,to dig         ,Verb           ,                   ,                           ,
لكى يفعل             ,to do          ,Verb           ,                   ,                           ,
الى الاسفل           ,to down        ,Verb           ,                   ,                           ,
ليرسم                ,to draw        ,Verb           ,                   ,                           ,
لباس                 ,to dress       ,Verb           ,                   ,                           ,
ليشرب                ,to drink       ,Verb           ,                   ,                           ,
للقيادة              ,to drive       ,Verb           ,                   ,                           ,
لتناول الطعام        ,to eat         ,Verb           ,                   ,                           ,
للإستمتاع            ,to enjoy       ,Verb           ,                   ,                           ,
لتنفجر               ,to explode     ,Verb           ,                   ,                           ,
ليقع او يسقط         ,to fall        ,Verb           ,                   ,                           ,
لكي تطعم             ,to feed        ,Verb           ,                   ,                           ,
ليقاتل               ,to fight       ,Verb           ,                   ,                           ,
لايجاد               ,to find        ,Verb           ,                   ,                           ,
لانهاء               ,to finish      ,Verb           ,                   ,                           ,
لإصلاح               ,to fix         ,Verb           ,                   ,                           ,
للطيران              ,to fly         ,Verb           ,                   ,                           ,
للمتابعة             ,to follow      ,Verb           ,                   ,                           ,
لكي أعطي             ,to give        ,Verb           ,                   ,                           ,
توجو                 ,to go          ,Verb           ,                   ,                           ,
ينمو                 ,to grow        ,Verb           ,                   ,                           ,
لتعليق               ,to hang        ,Verb           ,                   ,                           ,
امتلاك               ,to have        ,Verb           ,                   ,                           ,
للمساعدة             ,to help        ,Verb           ,                   ,                           ,
ليمسك                ,to hold        ,Verb           ,                   ,                           ,
لتقفز                ,to jump        ,Verb           ,                   ,                           ,
لتحفظ                ,to keep        ,Verb           ,                   ,                           ,
ليقتل                ,to kill        ,Verb           ,                   ,                           ,
لتقبيل               ,to kiss        ,Verb           ,                   ,                           ,
لتضحك                ,to laugh       ,Verb           ,                   ,                           ,
ليتعلم               ,to learn       ,Verb           ,                   ,                           ,
لرفع                 ,to lift        ,Verb           ,                   ,                           ,
للاستماع             ,to listen      ,Verb           ,to music           ,                           ,
لتخسر                ,to lose        ,Verb           ,                   ,                           ,
يحب                  ,to love        ,Verb           ,                   ,                           ,
للزواج               ,to marry       ,Verb           ,                   ,                           ,
لكي نلتقي            ,to meet        ,Verb           ,                   ,                           ,
ليذوب                ,to melt        ,Verb           ,                   ,                           ,
ذكر                  ,to mention     ,Verb           ,                   ,                           ,
لخلط / تقليب         ,to mix/stir    ,Verb           ,                   ,                           ,
لفتح                 ,to open        ,Verb           ,                   ,                           ,
ليمر                 ,to pass        ,Verb           ,                   ,                           ,
للدفع                ,to pay         ,Verb           ,                   ,                           ,
للعب                 ,to play        ,Verb           ,                   ,                           ,
للصلاة               ,to pray        ,Verb           ,                   ,                           ,
لسحب                 ,to pull        ,Verb           ,                   ,                           ,
يدفع                 ,to push        ,Verb           ,                   ,                           ,
لوضع                 ,to put         ,Verb           ,                   ,                           ,
لتحترم               ,to respect     ,Verb           ,                   ,                           ,
يهرب                 ,to run         ,Verb           ,                   ,                           ,
لترى                 ,to see         ,Verb           ,a bird             ,                           ,
للبيع                ,to sell        ,Verb           ,                   ,                           ,
أن يهز               ,to shake       ,Verb           ,                   ,                           ,
لاطلاق النار         ,to shoot       ,Noun           ,a gun              ,                           ,
للتوقيع              ,to sign        ,Verb           ,                   ,                           ,
ليغني                ,to sing        ,Verb           ,                   ,                           ,
للجلوس               ,to sit         ,Verb           ,                   ,                           ,
للنوم                ,to sleep       ,Verb           ,                   ,                           ,
يشم                  ,to smell       ,Verb           ,                   ,                           ,
أن تبتسم             ,to smile       ,Verb           ,                   ,                           ,
للتحدث / القول       ,to speak/say   ,Verb           ,                   ,                           ,
ليصرف                ,to spend       ,Verb           ,                   ,                           ,
للوقوف               ,to stand       ,Verb           ,                   ,                           ,
لتبقى                ,to stay        ,Verb           ,                   ,                           ,
للتوقف               ,to stop        ,Verb           ,                   ,                           ,
يفاجئ                ,to surprise    ,Verb           ,                   ,                           ,
للسباحة              ,to swim        ,Verb           ,                   ,                           ,
يأخذ                 ,to take        ,Verb           ,                   ,                           ,
ليتذوق               ,to taste       ,Verb           ,                   ,                           ,
لتعليم               ,to teach       ,Verb           ,                   ,                           ,
ليفكر                ,to think       ,Verb           ,                   ,                           ,
لرمي                 ,to throw       ,Verb           ,                   ,                           ,
للمس                 ,to touch       ,Verb           ,                   ,                           ,
للإلتفاف             ,to turn        ,Verb           ,                   ,                           ,
لتصل                 ,to up          ,Verb           ,                   ,                           ,
يمشي                 ,to walk        ,Verb           ,                   ,                           ,
لغسل                 ,to wash        ,Verb           ,                   ,                           ,
لمشاهدة              ,to watch       ,Verb           ,(TV)               ,                           ,
ليرتدي               ,to wear        ,Verb           ,                   ,                           ,
ليرتدي               ,to wear        ,Verb           ,                   ,                           ,
للفوز                ,to win         ,Verb           ,                   ,                           ,
للعمل                ,to work        ,Verb           ,                   ,                           ,
لأكتب                ,to write       ,Verb           ,                   ,                           ,
اصبع القدم           ,toe            ,Noun           ,                   ,                           ,
اللسان               ,tongue         ,Noun           ,                   ,                           ,
الأداة               ,tool           ,Noun           ,                   ,                           ,
السن                 ,tooth          ,Noun           ,                   ,                           ,
الأعلى               ,top            ,Noun           ,                   ,                           ,
المدينة              ,town           ,Noun           ,                   ,                           ,
القطار               ,train          ,Noun           ,                   ,                           ,
المواصلات            ,transportation ,Noun           ,                   ,                           ,
الشجرة               ,tree           ,Noun           ,                   ,                           ,
شاحنة                ,truck          ,Noun           ,                   ,                           ,
الاثني عشر           ,twelve         ,Noun           ,                   ,                           ,
العشرين              ,twenty         ,Noun           ,                   ,                           ,
الواحد والعشرون      ,twenty one     ,Noun           ,                   ,                           ,
الاثنان              ,two            ,Noun           ,                   ,                           ,
المئتان              ,two hundred    ,Noun           ,                   ,                           ,
القبيح               ,ugly           ,Noun           ,                   ,                           ,
العم                 ,uncle          ,Noun           ,                   ,                           ,
الجامعة              ,university     ,Noun           ,                   ,                           ,
ويصل                 ,up             ,Noun           ,                   ,                           ,
الوادي               ,valley         ,Noun           ,                   ,                           ,
الفعل                ,verb           ,Noun           ,                   ,                           ,
الضحية               ,victim         ,Noun           ,                   ,                           ,
الصوت                ,voice          ,Noun           ,                   ,                           ,
حرف العلة            ,vowel          ,Noun           ,                   ,                           ,
النادل               ,waiter         ,Noun           ,                   ,                           ,
الاستيقاظ            ,wake           ,Noun           ,                   ,                           ,
الحائط               ,wall           ,Noun           ,                   ,                           ,
الحرب                ,war            ,Noun           ,                   ,                           ,
دافيء                ,warm           ,Adjective      ,                   ,                           ,
الماء                ,water          ,Noun           ,                   ,                           ,
الموجة               ,wave           ,Noun           ,ocean              ,                           ,
نحن                  ,we             ,Pronoun        ,                   ,"us, our, ours, ourselves" ,
الضعف                ,weak           ,Noun           ,                   ,                           ,
الزفاف               ,wedding        ,Noun           ,                   ,                           ,
الإسبوع              ,week           ,Noun           ,                   ,                           ,
الإسبوع              ,week           ,Noun           ,                   ,                           ,
عطلة نهاية الاسبوع   ,weekend        ,Noun           ,                   ,                           ,
وزن                  ,weigh          ,Verb           ,                   ,                           ,
الوزن                ,weight         ,Noun           ,                   ,                           ,
الوزن                ,weight         ,Noun           ,                   ,                           ,
البئر                ,well           ,Noun           ,                   ,                           ,
الغرب                ,west           ,Noun           ,                   ,                           ,
الغرب                ,west           ,Noun           ,                   ,                           ,
الغرب                ,western        ,Noun           ,                   ,                           ,
الرطب                ,wet            ,Noun           ,adj.               ,                           ,
ماذا                 ,what           ,Noun           ,                   ,                           ,
متى                  ,when           ,Noun           ,                   ,                           ,
المكان               ,where          ,Noun           ,                   ,                           ,
سواء                 ,whether        ,Adverb         ,                   ,                           ,
والتي                ,which          ,Noun           ,                   ,                           ,
في حين أن            ,while          ,Noun           ,                   ,                           ,
الابيض               ,white          ,Noun           ,                   ,                           ,
الابيض               ,white          ,Noun           ,                   ,                           ,
منظمة الصحة العالمية ,who            ,Noun           ,                   ,                           ,
الكل                 ,whole          ,Noun           ,                   ,                           ,
لماذا                ,why            ,Noun           ,                   ,                           ,
الواسع               ,wide           ,Noun           ,                   ,                           ,
الواسع               ,wide           ,Noun           ,                   ,                           ,
الزوجة               ,wife           ,Noun           ,                   ,                           ,
الزوجة               ,wife           ,Noun           ,                   ,                           ,
البرية               ,wild           ,Noun           ,                   ,                           ,
الارادة              ,will           ,Noun           ,                   ,                           ,
الفوز                ,win            ,Noun           ,                   ,                           ,
الريح                ,wind           ,Noun           ,                   ,                           ,
الريح                ,wind           ,Noun           ,                   ,                           ,
النافذة              ,window         ,Noun           ,                   ,                           ,
النافذة              ,window         ,Noun           ,                   ,                           ,
النبيذ               ,wine           ,Noun           ,                   ,                           ,
النبيذ               ,wine           ,Noun           ,                   ,                           ,
الجناح               ,wing           ,Noun           ,                   ,                           ,
الجناح               ,wing           ,Noun           ,                   ,                           ,
الفائز               ,winner         ,Noun           ,                   ,                           ,
الشتاء               ,winter         ,Noun           ,                   ,                           ,
الشتاء               ,winter         ,Noun           ,                   ,                           ,
السلك                ,wire           ,Noun           ,                   ,                           ,
المرأة               ,woman          ,Noun           ,                   ,                           ,
الخشب                ,wood           ,Noun           ,                   ,                           ,
العالم               ,world          ,Noun           ,                   ,                           ,
الفناء               ,yard           ,Noun           ,                   ,                           ,
السنة                ,year           ,Noun           ,                   ,                           ,
الأصفر               ,yellow         ,Noun           ,                   ,                           ,
نعم                  ,yes            ,Noun           ,                   ,                           ,
أنت                  ,you            ,Pronoun        ,singular/plural    ,"your, yours, yourself"    ,
الصغير               ,young          ,Noun           ,                   ,                           ,
الصفر                ,zero           ,Noun           ,                   ,                           ,
