de                   ,en             ,Part of Speech ,Notes              ,Related                    ,
die Nacht            ,night          ,Noun           ,                   ,                           ,
die neun             ,nine           ,Noun           ,                   ,                           ,
die neunzehn         ,nineteen       ,Noun           ,                   ,                           ,
die neunzig          ,ninety         ,Noun           ,                   ,                           ,
Das Nein             ,no             ,Noun           ,                   ,                           ,
Noch                 ,nor            ,Conjunction    ,                   ,                           ,
der Norden           ,north          ,Noun           ,                   ,                           ,
die Nase             ,nose           ,Noun           ,                   ,                           ,
die Notiz            ,note           ,Noun           ,on paper           ,                           ,
Das Nichts           ,nothing        ,Noun           ,                   ,                           ,
die nukleare         ,nuclear        ,Noun           ,                   ,                           ,
die Nummer           ,number         ,Noun           ,                   ,                           ,
der Ozean            ,ocean          ,Noun           ,                   ,                           ,
das Büro             ,office         ,Noun           ,                   ,                           ,
das Öl               ,oil            ,Noun           ,                   ,                           ,
das alte             ,old            ,Noun           ,/new               ,                           ,
das alte             ,old            ,Noun           ,/young             ,                           ,
der Eine             ,one            ,Noun           ,                   ,                           ,
die hundert          ,one hundred    ,Noun           ,                   ,                           ,
die eine Million     ,one million    ,Noun           ,                   ,                           ,
die Tausend          ,one thousand   ,Noun           ,                   ,                           ,
oder                 ,or             ,Conjunction    ,                   ,                           ,
Die Orange           ,orange         ,Noun           ,color              ,                           ,
Die Orange           ,orange         ,Noun           ,food               ,                           ,
die Außenseite       ,outside        ,Noun           ,                   ,                           ,
die Seite            ,page           ,Noun           ,                   ,                           ,
der Schmerz          ,pain           ,Noun           ,                   ,                           ,
die Farbe            ,paint          ,Noun           ,                   ,                           ,
die Hose             ,pants          ,Noun           ,                   ,                           ,
das Papier           ,paper          ,Noun           ,                   ,                           ,
das Elternteil       ,parent         ,Noun           ,                   ,                           ,
der Park             ,park           ,Noun           ,location           ,                           ,
der Patient          ,patient        ,Noun           ,                   ,                           ,
das Muster           ,pattern        ,Noun           ,                   ,                           ,
der Frieden          ,peace          ,Noun           ,                   ,                           ,
der Stift            ,pen            ,Noun           ,                   ,                           ,
der Bleistift        ,pencil         ,Noun           ,                   ,                           ,
die Person           ,person         ,Noun           ,                   ,                           ,
das Telefon          ,phone          ,Noun           ,                   ,                           ,
die Fotografie       ,photograph     ,Noun           ,                   ,                           ,
das Stück            ,piece          ,Noun           ,                   ,                           ,
das Schwein          ,pig            ,Noun           ,                   ,                           ,
das pinke            ,pink           ,Noun           ,                   ,                           ,
der Plan             ,plan           ,Noun           ,                   ,                           ,
das Flugzeug         ,plane          ,Noun           ,                   ,                           ,
die Pflanze          ,plant          ,Noun           ,                   ,                           ,
der Kunststoff       ,plastic        ,Noun           ,                   ,                           ,
der Teller           ,plate          ,Noun           ,                   ,                           ,
der Spieler          ,player         ,Noun           ,                   ,                           ,
die Tasche           ,pocket         ,Noun           ,                   ,                           ,
das Gift             ,poison         ,Noun           ,                   ,                           ,
die Polizei          ,police         ,Noun           ,                   ,                           ,
der Pool             ,pool           ,Noun           ,                   ,                           ,
die Armen            ,poor           ,Noun           ,                   ,                           ,
das Schweinefleisch  ,pork           ,Noun           ,                   ,                           ,
möglicherweise       ,possibly       ,Adverb         ,                   ,                           ,
das Pfund            ,pound          ,Noun           ,weight             ,                           ,
der Präsident        ,president      ,Noun           ,                   ,                           ,
der Preis            ,price          ,Noun           ,                   ,                           ,
der Priester         ,priest         ,Noun           ,                   ,                           ,
das Gefängnis        ,prison         ,Noun           ,                   ,                           ,
Privatgelände        ,private        ,Adjective      ,                   ,                           ,
das Programm         ,program        ,Noun           ,computer           ,                           ,
Öffentlichkeit       ,public         ,Adjective      ,                   ,                           ,
die Königin          ,queen          ,Noun           ,                   ,                           ,
die Stille           ,quiet          ,Noun           ,                   ,                           ,
das Rennen           ,race           ,Noun           ,ethnicity          ,                           ,
das Rennen           ,race           ,Noun           ,sport              ,                           ,
das Radio            ,radio          ,Noun           ,                   ,                           ,
der Regen            ,rain           ,Noun           ,                   ,                           ,
das Rote             ,red            ,Noun           ,                   ,                           ,
Die Religion         ,religion       ,Noun           ,                   ,                           ,
der Reporter         ,reporter       ,Noun           ,                   ,                           ,
das Restaurant       ,restaurant     ,Noun           ,                   ,                           ,
der Reis             ,rice           ,Noun           ,                   ,                           ,
die Reichen          ,rich           ,Noun           ,                   ,                           ,
das Recht            ,right          ,Noun           ,direction          ,                           ,
der Ring             ,ring           ,Noun           ,                   ,                           ,
der Fluss            ,river          ,Noun           ,                   ,                           ,
das Dach             ,roof           ,Noun           ,                   ,                           ,
das Zimmer           ,room           ,Noun           ,in a house         ,                           ,
die Wurzel           ,root           ,Noun           ,                   ,                           ,
das Traurige         ,sad            ,Noun           ,                   ,                           ,
das Salz             ,salt           ,Noun           ,                   ,                           ,
der Sand             ,sand           ,Noun           ,                   ,                           ,
die Schule           ,school         ,Noun           ,                   ,                           ,
die Wissenschaft     ,science        ,Noun           ,                   ,                           ,
der Bildschirm       ,screen         ,Noun           ,                   ,                           ,
das Meer             ,sea            ,Noun           ,                   ,                           ,
die Saison           ,season         ,Noun           ,                   ,                           ,
der Zweite           ,second         ,Noun           ,2nd                ,                           ,
der Zweite           ,second         ,Noun           ,time               ,                           ,
die Sekretärin       ,secretary      ,Noun           ,                   ,                           ,
der Samen            ,seed           ,Noun           ,                   ,                           ,
Die Sieben           ,seven          ,Noun           ,                   ,                           ,
die siebzehn         ,seventeen      ,Noun           ,                   ,                           ,
die siebzig          ,seventy        ,Noun           ,                   ,                           ,
das Geschlecht       ,sex            ,Noun           ,act                ,                           ,
das Geschlecht       ,sex            ,Noun           ,gender             ,                           ,
die seichte          ,shallow        ,Noun           ,                   ,                           ,
die sie              ,she            ,Noun           ,                   ,"her, hers, herself"       ,
das Schiff           ,ship           ,Noun           ,                   ,                           ,
das Hemd             ,shirt          ,Noun           ,                   ,                           ,
die Schuhe           ,shoes          ,Noun           ,                   ,                           ,
kurz                 ,short          ,Adjective      ,long               ,                           ,
kurz                 ,short          ,Adjective      ,vs. tall           ,                           ,
die Schulter         ,shoulder       ,Noun           ,                   ,                           ,
die Kranken          ,sick           ,Noun           ,                   ,                           ,
die Seite            ,side           ,Noun           ,                   ,                           ,
das Schild           ,sign           ,Noun           ,                   ,                           ,
das Silber           ,silver         ,Noun           ,                   ,                           ,
die Schwester        ,sister         ,Noun           ,                   ,                           ,
die sechs            ,six            ,Noun           ,                   ,                           ,
die sechzehn         ,sixteen        ,Noun           ,                   ,                           ,
die sechzig          ,sixty          ,Noun           ,                   ,                           ,
die Haut             ,skin           ,Noun           ,                   ,                           ,
der Rock             ,skirt          ,Noun           ,                   ,                           ,
der Himmel           ,sky            ,Noun           ,                   ,                           ,
die langsame         ,slow           ,Noun           ,                   ,                           ,
das kleine/kleine    ,small/little   ,Noun           ,                   ,                           ,
der Schnee           ,snow           ,Noun           ,                   ,                           ,
die Seife            ,soap           ,Noun           ,                   ,                           ,
die weiche           ,soft           ,Noun           ,                   ,                           ,
der Boden/die Erde   ,soil/earth     ,Noun           ,                   ,                           ,
der Soldat           ,soldier        ,Noun           ,                   ,                           ,
der Sohn             ,son            ,Noun           ,                   ,                           ,
das Lied             ,song           ,Noun           ,                   ,                           ,
der Klang            ,sound          ,Noun           ,                   ,                           ,
die Suppe            ,soup           ,Noun           ,                   ,                           ,
der Süden            ,south          ,Noun           ,                   ,                           ,
der Raum             ,space          ,Noun           ,outer space        ,                           ,
der Löffel           ,spoon          ,Noun           ,                   ,                           ,
der Sport            ,sport          ,Noun           ,                   ,                           ,
der Frühling         ,spring         ,Noun           ,season             ,                           ,
der Platz            ,square         ,Noun           ,                   ,                           ,
der Fleck            ,stain          ,Noun           ,                   ,                           ,
der Stern            ,star           ,Noun           ,                   ,                           ,
der Bahnhof          ,station        ,Noun           ,                   ,                           ,
der Stein            ,stone          ,Noun           ,                   ,                           ,
der Laden/Laden      ,store/shop     ,Noun           ,                   ,                           ,
die Gerade           ,straight       ,Noun           ,                   ,                           ,
die Straße/Weg       ,street/road    ,Noun           ,                   ,                           ,
der Starke           ,strong         ,Noun           ,                   ,                           ,
der Student          ,student        ,Noun           ,                   ,                           ,
der Zucker           ,sugar          ,Noun           ,                   ,                           ,
der Anzug            ,suit           ,Noun           ,                   ,                           ,
der Sommer           ,summer         ,Noun           ,                   ,                           ,
Die Sonne            ,sun            ,Noun           ,                   ,                           ,
der Schweiß          ,sweat          ,Noun           ,                   ,                           ,
Die Tabelle          ,table          ,Noun           ,                   ,                           ,
der Große            ,tall           ,Noun           ,                   ,                           ,
der Tee              ,tea            ,Noun           ,                   ,                           ,
der Lehrer           ,teacher        ,Noun           ,                   ,                           ,
Die Mannschaft       ,team           ,Noun           ,                   ,                           ,
die Träne            ,tear           ,Noun           ,drop               ,                           ,
Die Technologie      ,technology     ,Noun           ,                   ,                           ,
das Telefon_         ,telephone_     ,Noun           ,                   ,                           ,
der Fernseher        ,television     ,Noun           ,                   ,                           ,
die Temperatur       ,temperature    ,Noun           ,                   ,                           ,
die Zehn             ,ten            ,Noun           ,                   ,                           ,
die Zehntausend      ,ten thousand   ,Noun           ,                   ,                           ,
das Theater          ,theater        ,Noun           ,                   ,                           ,
sie                  ,they           ,Pronoun        ,                   ,"them, their, theirs"      ,
die Dicke            ,thick          ,Noun           ,                   ,                           ,
das Dünne            ,thin           ,Noun           ,                   ,                           ,
der dritte           ,third          ,Noun           ,3rd                ,                           ,
die dreizehn         ,thirteen       ,Noun           ,                   ,                           ,
die dreißig          ,thirty         ,Noun           ,                   ,                           ,
die tausend          ,thousand       ,Noun           ,                   ,                           ,
die Drei             ,three          ,Noun           ,                   ,                           ,
das Ticket           ,ticket         ,Noun           ,train              ,                           ,
die enge             ,tight          ,Noun           ,                   ,                           ,
die Zeit             ,time           ,Noun           ,                   ,                           ,
der Reifen           ,tire           ,Noun           ,of a car           ,                           ,
sein                 ,to be          ,Verb           ,                   ,                           ,
schlagen             ,to beat        ,Verb           ,                   ,                           ,
beginnen             ,to begin       ,Verb           ,                   ,                           ,
biegen               ,to bend        ,Verb           ,                   ,                           ,
brechen              ,to break       ,Verb           ,                   ,                           ,
Kochen               ,to boil        ,Verb           ,                   ,                           ,
bauen                ,to build       ,Verb           ,                   ,                           ,
brennen              ,to burn        ,Verb           ,                   ,                           ,
kaufen               ,to buy         ,Verb           ,                   ,                           ,
anrufen              ,to call        ,Verb           ,                   ,                           ,
tragen               ,to carry       ,Verb           ,                   ,                           ,
abbrechen            ,to cancel      ,Verb           ,                   ,                           ,
sich kümmern         ,to care        ,Verb           ,                   ,                           ,
fangen               ,to catch       ,Verb           ,                   ,                           ,
verursachen          ,to cause       ,Verb           ,                   ,                           ,
reinigen             ,to clean       ,Verb           ,                   ,                           ,
schließen            ,to close       ,Verb           ,                   ,                           ,
kommen               ,to come        ,Verb           ,                   ,                           ,
vergleichen          ,to compare     ,Verb           ,                   ,                           ,
in Wettbewerb stehen ,to compete     ,Verb           ,                   ,                           ,
verbinden            ,to connect     ,Verb           ,                   ,                           ,
Kochen               ,to cook        ,Verb           ,                   ,                           ,
zählen               ,to count       ,Verb           ,                   ,                           ,
Weinen               ,to cry         ,Verb           ,                   ,                           ,
schneiden            ,to cut         ,Verb           ,                   ,                           ,
tanzen               ,to dance       ,Verb           ,                   ,                           ,
verdienen            ,to deserve     ,Verb           ,                   ,                           ,
sterben              ,to die         ,Verb           ,                   ,                           ,
Graben               ,to dig         ,Verb           ,                   ,                           ,
machen               ,to do          ,Verb           ,                   ,                           ,
nach unten           ,to down        ,Verb           ,                   ,                           ,
zeichnen             ,to draw        ,Verb           ,                   ,                           ,
zu kleiden           ,to dress       ,Verb           ,                   ,                           ,
trinken              ,to drink       ,Verb           ,                   ,                           ,
fahren               ,to drive       ,Verb           ,                   ,                           ,
Essen                ,to eat         ,Verb           ,                   ,                           ,
zu genießen          ,to enjoy       ,Verb           ,                   ,                           ,
explodieren          ,to explode     ,Verb           ,                   ,                           ,
fallen               ,to fall        ,Verb           ,                   ,                           ,
füttern              ,to feed        ,Verb           ,                   ,                           ,
kämpfen              ,to fight       ,Verb           ,                   ,                           ,
finden               ,to find        ,Verb           ,                   ,                           ,
beenden              ,to finish      ,Verb           ,                   ,                           ,
reparieren           ,to fix         ,Verb           ,                   ,                           ,
fliegen              ,to fly         ,Verb           ,                   ,                           ,
Folgen               ,to follow      ,Verb           ,                   ,                           ,
geben                ,to give        ,Verb           ,                   ,                           ,
gehen                ,to go          ,Verb           ,                   ,                           ,
wachsen              ,to grow        ,Verb           ,                   ,                           ,
hängen               ,to hang        ,Verb           ,                   ,                           ,
haben                ,to have        ,Verb           ,                   ,                           ,
helfen               ,to help        ,Verb           ,                   ,                           ,
halten               ,to hold        ,Verb           ,                   ,                           ,
springen             ,to jump        ,Verb           ,                   ,                           ,
behalten             ,to keep        ,Verb           ,                   ,                           ,
töten                ,to kill        ,Verb           ,                   ,                           ,
küssen               ,to kiss        ,Verb           ,                   ,                           ,
Lachen               ,to laugh       ,Verb           ,                   ,                           ,
lernen               ,to learn       ,Verb           ,                   ,                           ,
heben                ,to lift        ,Verb           ,                   ,                           ,
zuhören              ,to listen      ,Verb           ,to music           ,                           ,
verlieren            ,to lose        ,Verb           ,                   ,                           ,
lieben               ,to love        ,Verb           ,                   ,                           ,
heiraten             ,to marry       ,Verb           ,                   ,                           ,
treffen              ,to meet        ,Verb           ,                   ,                           ,
schmelzen            ,to melt        ,Verb           ,                   ,                           ,
zu erwähnen          ,to mention     ,Verb           ,                   ,                           ,
mischen/rühren       ,to mix/stir    ,Verb           ,                   ,                           ,
öffnen               ,to open        ,Verb           ,                   ,                           ,
bestehen             ,to pass        ,Verb           ,                   ,                           ,
bezahlen             ,to pay         ,Verb           ,                   ,                           ,
spielen              ,to play        ,Verb           ,                   ,                           ,
beten                ,to pray        ,Verb           ,                   ,                           ,
ziehen               ,to pull        ,Verb           ,                   ,                           ,
drücken              ,to push        ,Verb           ,                   ,                           ,
stellen              ,to put         ,Verb           ,                   ,                           ,
respektieren         ,to respect     ,Verb           ,                   ,                           ,
laufen               ,to run         ,Verb           ,                   ,                           ,
um zu sehen          ,to see         ,Verb           ,a bird             ,                           ,
verkaufen            ,to sell        ,Verb           ,                   ,                           ,
schütteln            ,to shake       ,Verb           ,                   ,                           ,
das zu schießen      ,to shoot       ,Noun           ,a gun              ,                           ,
unterschreiben       ,to sign        ,Verb           ,                   ,                           ,
singen               ,to sing        ,Verb           ,                   ,                           ,
sitzen               ,to sit         ,Verb           ,                   ,                           ,
schlafen             ,to sleep       ,Verb           ,                   ,                           ,
riechen              ,to smell       ,Verb           ,                   ,                           ,
Lächeln              ,to smile       ,Verb           ,                   ,                           ,
sprechen/sagen       ,to speak/say   ,Verb           ,                   ,                           ,
ausgeben             ,to spend       ,Verb           ,                   ,                           ,
stehen               ,to stand       ,Verb           ,                   ,                           ,
bleiben              ,to stay        ,Verb           ,                   ,                           ,
stoppen              ,to stop        ,Verb           ,                   ,                           ,
überraschen          ,to surprise    ,Verb           ,                   ,                           ,
Schwimmen            ,to swim        ,Verb           ,                   ,                           ,
nehmen               ,to take        ,Verb           ,                   ,                           ,
schmecken            ,to taste       ,Verb           ,                   ,                           ,
Lehren               ,to teach       ,Verb           ,                   ,                           ,
denken               ,to think       ,Verb           ,                   ,                           ,
werfen               ,to throw       ,Verb           ,                   ,                           ,
berühren             ,to touch       ,Verb           ,                   ,                           ,
drehen               ,to turn        ,Verb           ,                   ,                           ,
nach oben            ,to up          ,Verb           ,                   ,                           ,
gehen                ,to walk        ,Verb           ,                   ,                           ,
waschen              ,to wash        ,Verb           ,                   ,                           ,
schauen              ,to watch       ,Verb           ,(TV)               ,                           ,
tragen               ,to wear        ,Verb           ,                   ,                           ,
tragen               ,to wear        ,Verb           ,                   ,                           ,
gewinnen             ,to win         ,Verb           ,                   ,                           ,
arbeiten             ,to work        ,Verb           ,                   ,                           ,
schreiben            ,to write       ,Verb           ,                   ,                           ,
Der Zeh              ,toe            ,Noun           ,                   ,                           ,
die Zunge            ,tongue         ,Noun           ,                   ,                           ,
das Werkzeug         ,tool           ,Noun           ,                   ,                           ,
der Zahn             ,tooth          ,Noun           ,                   ,                           ,
die Spitze           ,top            ,Noun           ,                   ,                           ,
die Stadt            ,town           ,Noun           ,                   ,                           ,
der Zug              ,train          ,Noun           ,                   ,                           ,
der Transport        ,transportation ,Noun           ,                   ,                           ,
der Baum             ,tree           ,Noun           ,                   ,                           ,
der Lastwagen        ,truck          ,Noun           ,                   ,                           ,
die Zwölf            ,twelve         ,Noun           ,                   ,                           ,
die zwanzig          ,twenty         ,Noun           ,                   ,                           ,
die einundzwanzig    ,twenty one     ,Noun           ,                   ,                           ,
die Zwei             ,two            ,Noun           ,                   ,                           ,
die zweihundert      ,two hundred    ,Noun           ,                   ,                           ,
das hässliche        ,ugly           ,Noun           ,                   ,                           ,
der Onkel            ,uncle          ,Noun           ,                   ,                           ,
die Universität      ,university     ,Noun           ,                   ,                           ,
das auf              ,up             ,Noun           ,                   ,                           ,
das Tal              ,valley         ,Noun           ,                   ,                           ,
das Verb             ,verb           ,Noun           ,                   ,                           ,
das Opfer            ,victim         ,Noun           ,                   ,                           ,
die Stimme           ,voice          ,Noun           ,                   ,                           ,
Der Vokal            ,vowel          ,Noun           ,                   ,                           ,
der Kellner          ,waiter         ,Noun           ,                   ,                           ,
die Totenwache       ,wake           ,Noun           ,                   ,                           ,
die Wand             ,wall           ,Noun           ,                   ,                           ,
der Krieg            ,war            ,Noun           ,                   ,                           ,
warm                 ,warm           ,Adjective      ,                   ,                           ,
das Wasser           ,water          ,Noun           ,                   ,                           ,
die Welle            ,wave           ,Noun           ,ocean              ,                           ,
wir                  ,we             ,Pronoun        ,                   ,"us, our, ours, ourselves" ,
die schwachen        ,weak           ,Noun           ,                   ,                           ,
die Hochzeit         ,wedding        ,Noun           ,                   ,                           ,
die Woche            ,week           ,Noun           ,                   ,                           ,
die Woche            ,week           ,Noun           ,                   ,                           ,
das Wochenende       ,weekend        ,Noun           ,                   ,                           ,
wiegen               ,weigh          ,Verb           ,                   ,                           ,
das Gewicht          ,weight         ,Noun           ,                   ,                           ,
das Gewicht          ,weight         ,Noun           ,                   ,                           ,
der Brunnen          ,well           ,Noun           ,                   ,                           ,
der Westen           ,west           ,Noun           ,                   ,                           ,
der Westen           ,west           ,Noun           ,                   ,                           ,
Der Westen           ,western        ,Noun           ,                   ,                           ,
das Nass             ,wet            ,Noun           ,adj.               ,                           ,
das was              ,what           ,Noun           ,                   ,                           ,
das wann             ,when           ,Noun           ,                   ,                           ,
das wo               ,where          ,Noun           ,                   ,                           ,
ob                   ,whether        ,Adverb         ,                   ,                           ,
das was              ,which          ,Noun           ,                   ,                           ,
während              ,while          ,Noun           ,                   ,                           ,
das weiß             ,white          ,Noun           ,                   ,                           ,
das weiß             ,white          ,Noun           ,                   ,                           ,
die WHO              ,who            ,Noun           ,                   ,                           ,
das Ganze            ,whole          ,Noun           ,                   ,                           ,
das warum            ,why            ,Noun           ,                   ,                           ,
die Breite           ,wide           ,Noun           ,                   ,                           ,
die Breite           ,wide           ,Noun           ,                   ,                           ,
die Frau             ,wife           ,Noun           ,                   ,                           ,
die Frau             ,wife           ,Noun           ,                   ,                           ,
das wilde            ,wild           ,Noun           ,                   ,                           ,
der Wille            ,will           ,Noun           ,                   ,                           ,
der Sieg             ,win            ,Noun           ,                   ,                           ,
der Wind             ,wind           ,Noun           ,                   ,                           ,
der Wind             ,wind           ,Noun           ,                   ,                           ,
das Fenster          ,window         ,Noun           ,                   ,                           ,
das Fenster          ,window         ,Noun           ,                   ,                           ,
der Wein             ,wine           ,Noun           ,                   ,                           ,
der Wein             ,wine           ,Noun           ,                   ,                           ,
der Flügel           ,wing           ,Noun           ,                   ,                           ,
der Flügel           ,wing           ,Noun           ,                   ,                           ,
der Gewinner         ,winner         ,Noun           ,                   ,                           ,
der Winter           ,winter         ,Noun           ,                   ,                           ,
der Winter           ,winter         ,Noun           ,                   ,                           ,
das Kabel            ,wire           ,Noun           ,                   ,                           ,
die Frau             ,woman          ,Noun           ,                   ,                           ,
Das Holz             ,wood           ,Noun           ,                   ,                           ,
die Welt             ,world          ,Noun           ,                   ,                           ,
der Hof              ,yard           ,Noun           ,                   ,                           ,
das Jahr             ,year           ,Noun           ,                   ,                           ,
das Gelbe            ,yellow         ,Noun           ,                   ,                           ,
das Ja               ,yes            ,Noun           ,                   ,                           ,
Sie                  ,you            ,Pronoun        ,singular/plural    ,"your, yours, yourself"    ,
der junge            ,young          ,Noun           ,                   ,                           ,
die Null             ,zero           ,Noun           ,                   ,                           ,
