fr                   ,en             ,Part of Speech ,Notes              ,Related                    ,
le mois d'avril      ,April          ,Noun           ,                   ,                           ,
le mois d'août       ,August         ,Noun           ,                   ,                           ,
le décembre          ,December       ,Noun           ,                   ,                           ,
le février           ,February       ,Noun           ,                   ,                           ,
le vendredi          ,Friday         ,Noun           ,                   ,                           ,
je                   ,I              ,Pronoun        ,                   ,"me, my, mine, myself"     ,
le mois de janvier   ,January        ,Noun           ,                   ,                           ,
le mois de juillet   ,July           ,Noun           ,                   ,                           ,
le mois de juin      ,June           ,Noun           ,                   ,                           ,
la marche            ,March          ,Noun           ,                   ,                           ,
le mai               ,May            ,Noun           ,                   ,                           ,
le lundi             ,Monday         ,Noun           ,                   ,                           ,
le novembre          ,November       ,Noun           ,                   ,                           ,
le mois d'octobre    ,October        ,Noun           ,                   ,                           ,
le samedi            ,Saturday       ,Noun           ,                   ,                           ,
le septembre         ,September      ,Noun           ,                   ,                           ,
le dimanche          ,Sunday         ,Noun           ,                   ,                           ,
le jeudi             ,Thursday       ,Noun           ,                   ,                           ,
le mardi             ,Tuesday        ,Noun           ,                   ,                           ,
le mercredi          ,Wednesday      ,Noun           ,                   ,                           ,
La terre             ,earth          ,Noun           ,                   ,                           ,
le Dieu              ,god            ,Noun           ,                   ,                           ,
le T-shirt           ,t-shirt        ,Noun           ,                   ,                           ,
l'acteur             ,actor          ,Noun           ,                   ,                           ,
l'adjectif           ,adjective      ,Noun           ,                   ,                           ,
l'adulte             ,adult          ,Noun           ,                   ,                           ,
l'après-midi         ,afternoon      ,Noun           ,                   ,                           ,
l'air                ,air            ,Noun           ,                   ,                           ,
l'aéroport           ,airport        ,Noun           ,                   ,                           ,
le vivant            ,alive          ,Noun           ,                   ,                           ,
et                   ,and            ,Conjunction    ,                   ,                           ,
l'animal             ,animal         ,Noun           ,                   ,                           ,
la réponse           ,answer         ,Noun           ,                   ,                           ,
le n'importe quoi    ,anything       ,Noun           ,                   ,                           ,
une part             ,apart          ,Adverb         ,                   ,                           ,
l'appartement        ,apartment      ,Noun           ,                   ,                           ,
la pomme             ,apple          ,Noun           ,                   ,                           ,
le bras              ,arm            ,Noun           ,                   ,                           ,
l'armée              ,army           ,Noun           ,                   ,                           ,
les environs         ,around         ,Noun           ,                   ,                           ,
L'art                ,art            ,Noun           ,                   ,                           ,
l'artiste            ,artist         ,Noun           ,                   ,                           ,
comme                ,as             ,Conjunction    ,                   ,                           ,
à                    ,at             ,Conjunction    ,                   ,.                          
l'attaque            ,attack         ,Noun           ,                   ,                           ,
l'attention          ,attention      ,Noun           ,                   ,                           ,
la tante             ,aunt           ,Noun           ,                   ,                           ,
le loin              ,away           ,Noun           ,                   ,                           ,
l'auteur             ,author         ,Noun           ,                   ,                           ,
le bébé              ,baby           ,Noun           ,                   ,                           ,
l'arrière            ,back           ,Noun           ,body               ,                           ,
l'arrière            ,back           ,Noun           ,direction          ,                           ,
le mauvais           ,bad            ,Noun           ,                   ,"worse, worst"             ,
le sac               ,bag            ,Noun           ,                   ,                           ,
le ballon            ,ball           ,Noun           ,                   ,                           ,
la banane            ,banana         ,Noun           ,                   ,                           ,
Le groupe            ,band           ,Noun           ,music              ,                           ,
la Banque            ,bank           ,Noun           ,                   ,                           ,
le bar               ,bar            ,Noun           ,Location           ,                           ,
la base              ,base           ,Noun           ,                   ,                           ,
la chauve-souris     ,bat            ,Noun           ,                   ,                           ,
la salle de bain     ,bathroom       ,Noun           ,                   ,                           ,
la plage             ,beach          ,Noun           ,                   ,                           ,
l'ours               ,bear           ,Noun           ,                   ,                           ,
la barbe             ,beard          ,Noun           ,                   ,                           ,
le beau              ,beautiful      ,Noun           ,                   ,                           ,
le lit               ,bed            ,Noun           ,                   ,                           ,
la chambre           ,bedroom        ,Noun           ,                   ,                           ,
l'abeille            ,bee            ,Noun           ,                   ,                           ,
le boeuf             ,beef           ,Noun           ,                   ,                           ,
la bière             ,beer           ,Noun           ,                   ,                           ,
avant de             ,before         ,Preposition    ,                   ,                           ,
derrière             ,behind         ,Preposition    ,                   ,                           ,
la cloche            ,bell           ,Noun           ,                   ,                           ,
le ventre            ,belly          ,Noun           ,                   ,                           ,
la boisson           ,beverage       ,Noun           ,                   ,                           ,
la bicyclette        ,bicycle        ,Noun           ,                   ,                           ,
le grand/grand       ,big/large      ,Noun           ,                   ,                           ,
le projet de loi     ,bill           ,Noun           ,                   ,                           ,
le milliard          ,billion        ,Noun           ,                   ,                           ,
l'oiseau             ,bird           ,Noun           ,                   ,                           ,
l'anniversaire       ,birthday       ,Noun           ,                   ,                           ,
le noir              ,black          ,Noun           ,                   ,                           ,
aveugle              ,blind          ,Adjective      ,                   ,                           ,
le bloc              ,block          ,Noun           ,                   ,                           ,
le sang              ,blood          ,Noun           ,                   ,                           ,
le souffle           ,blow           ,Noun           ,                   ,                           ,
bleu                 ,blue           ,Adjective      ,                   ,                           ,
le bateau            ,boat           ,Noun           ,                   ,                           ,
le corps             ,body           ,Noun           ,                   ,                           ,
l'os                 ,bone           ,Noun           ,                   ,                           ,
le livre             ,book           ,Noun           ,                   ,                           ,
la frontière         ,border         ,Noun           ,                   ,                           ,
la bouteille         ,bottle         ,Noun           ,                   ,                           ,
le fond              ,bottom         ,Noun           ,                   ,                           ,
le bol               ,bowl           ,Noun           ,                   ,                           ,
la boîte             ,box            ,Noun           ,                   ,                           ,
le garçon            ,boy            ,Noun           ,                   ,                           ,
le petit ami         ,boyfriend      ,Noun           ,                   ,                           ,
le cerveau           ,brain          ,Noun           ,                   ,                           ,
le pain              ,bread          ,Noun           ,                   ,                           ,
le petit déjeuner    ,breakfast      ,Noun           ,                   ,                           ,
le pont              ,bridge         ,Noun           ,                   ,                           ,
le frère             ,brother        ,Noun           ,                   ,                           ,
le Brun              ,brown          ,Noun           ,                   ,                           ,
le bâtiment          ,building       ,Noun           ,                   ,                           ,
Le bus               ,bus            ,Noun           ,                   ,                           ,
mais                 ,but            ,Conjunction    ,                   ,                           ,
le gâteau            ,cake           ,Noun           ,                   ,                           ,
l'appareil photo     ,camera         ,Noun           ,                   ,                           ,
le camp              ,camp           ,Noun           ,                   ,                           ,
boîte                ,can            ,Verb           ,                   ,                           ,
la bougie            ,candle         ,Noun           ,                   ,                           ,
le capuchon          ,cap            ,Noun           ,                   ,                           ,
la voiture           ,car            ,Noun           ,                   ,                           ,
la carte             ,card           ,Noun           ,                   ,                           ,
la carrière          ,career         ,Noun           ,                   ,                           ,
la carotte           ,carrot         ,Noun           ,                   ,                           ,
le chat              ,cat            ,Noun           ,                   ,                           ,
le plafond           ,ceiling        ,Noun           ,                   ,                           ,
la cellule           ,cell           ,Noun           ,                   ,                           ,
le centime           ,cent           ,Noun           ,                   ,                           ,
le centre            ,center         ,Noun           ,                   ,                           ,
le siècle            ,century        ,Noun           ,                   ,                           ,
le centimètre        ,centimeter     ,Noun           ,                   ,                           ,
certain              ,certain        ,Adjective      ,                   ,                           ,
la chaise            ,chair          ,Noun           ,                   ,                           ,
le pas cher          ,cheap          ,Noun           ,                   ,                           ,
le fromage           ,cheese         ,Noun           ,                   ,                           ,
le poulet            ,chicken        ,Noun           ,                   ,                           ,
l'enfant             ,child          ,Noun           ,                   ,                           ,
le menton            ,chin           ,Noun           ,                   ,                           ,
l'église             ,church         ,Noun           ,                   ,                           ,
le cercle            ,circle         ,Noun           ,                   ,                           ,
la ville             ,city           ,Noun           ,                   ,                           ,
l'argile             ,clay           ,Noun           ,                   ,                           ,
la classe            ,class          ,Noun           ,                   ,                           ,
nettoyer             ,clean          ,Adjective      ,                   ,                           ,
l'horloge            ,clock          ,Noun           ,                   ,                           ,
proche               ,close          ,Adverb         ,                   ,                           ,
l'habillement        ,clothing       ,Noun           ,                   ,clothes                    ,
l'horloge            ,clock          ,Noun           ,                   ,                           ,
le tissu             ,cloth          ,Noun           ,                   ,                           ,
le nuage             ,cloud          ,Noun           ,                   ,                           ,
le club              ,club           ,Noun           ,location           ,                           ,
le manteau           ,coat           ,Noun           ,                   ,                           ,
le café              ,coffee         ,Noun           ,                   ,                           ,
le froid             ,cold           ,Noun           ,                   ,                           ,
la couleur           ,color          ,Noun           ,                   ,                           ,
le Comité            ,committee      ,Noun           ,                   ,                           ,
l'entreprise         ,company        ,Noun           ,                   ,                           ,
l'ordinateur         ,computer       ,Noun           ,                   ,                           ,
le complexe          ,complex        ,Noun           ,                   ,                           ,
la consonne          ,consonant      ,Noun           ,                   ,                           ,
la condition         ,condition      ,Noun           ,                   ,                           ,
le contrat           ,contract       ,Noun           ,                   ,                           ,
cool                 ,cool           ,Adjective      ,                   ,                           ,
le cuivre            ,copper         ,Noun           ,                   ,                           ,
le mais              ,corn           ,Noun           ,                   ,                           ,
le coin              ,corner         ,Noun           ,                   ,                           ,
le pays              ,country        ,Noun           ,(e.g. USA & Spain) ,                           ,
le tribunal          ,court          ,Noun           ,                   ,                           ,
la couverture        ,cover          ,Noun           ,                   ,                           ,
la vache             ,cow            ,Noun           ,                   ,                           ,
la foule             ,crowd          ,Noun           ,                   ,                           ,
la tasse             ,cup            ,Noun           ,                   ,                           ,
le courbé            ,curved         ,Noun           ,                   ,                           ,
mignonne             ,cute           ,Adjective      ,                   ,                           ,
le papa              ,dad            ,Noun           ,                   ,Daddy                      ,
l'obscurité          ,dark           ,Noun           ,                   ,                           ,
la date              ,date           ,Noun           ,e.g. May 7         ,                           ,
la fille             ,daughter       ,Noun           ,                   ,                           ,
le jour              ,day            ,Noun           ,                   ,                           ,
le mort              ,dead           ,Noun           ,                   ,                           ,
le sourd             ,deaf           ,Noun           ,                   ,                           ,
la mort              ,death          ,Noun           ,                   ,                           ,
l'abîme              ,deep           ,Noun           ,                   ,                           ,
le diamant           ,diamond        ,Noun           ,                   ,                           ,
le dîner             ,dinner         ,Noun           ,                   ,                           ,
la direction         ,direction      ,Noun           ,                   ,                           ,
la saleté            ,dirty          ,Noun           ,                   ,                           ,
la maladie           ,disease        ,Noun           ,                   ,                           ,
le médecin           ,doctor         ,Noun           ,                   ,                           ,
le chien             ,dog            ,Noun           ,                   ,                           ,
le dollar            ,dollar         ,Noun           ,                   ,                           ,
la porte             ,door           ,Noun           ,                   ,                           ,
le point             ,dot            ,Noun           ,                   ,                           ,
vers le bas          ,down           ,Preposition    ,                   ,                           ,
le rêve              ,dream          ,Noun           ,                   ,                           ,
la robe              ,dress          ,Noun           ,                   ,                           ,
la drogue            ,drug           ,Noun           ,                   ,                           ,
Le sec               ,dry            ,Noun           ,                   ,                           ,
la poussière         ,dust           ,Noun           ,                   ,                           ,
l'oreille            ,ear            ,Noun           ,                   ,                           ,
l'est                ,east           ,Noun           ,                   ,                           ,
le bord              ,edge           ,Noun           ,                   ,                           ,
l'œuf                ,egg            ,Noun           ,                   ,                           ,
le huit              ,eight          ,Noun           ,                   ,                           ,
le dix-huit          ,eighteen       ,Noun           ,                   ,                           ,
les quatre vingt     ,eighty         ,Noun           ,                   ,                           ,
Soit                 ,either         ,Adverb         ,                   ,                           ,
l'élection           ,election       ,Noun           ,                   ,                           ,
l'électronique       ,electronics    ,Noun           ,                   ,                           ,
le onze              ,eleven         ,Noun           ,                   ,                           ,
l'énergie            ,energy         ,Noun           ,                   ,                           ,
le moteur            ,engine         ,Noun           ,                   ,                           ,
le soir              ,evening        ,Noun           ,                   ,                           ,
le tout              ,everything     ,Noun           ,                   ,                           ,
la preuve            ,evidence       ,Noun           ,                   ,                           ,
l'exercice           ,exercise       ,Noun           ,                   ,                           ,
le cher              ,expensive      ,Noun           ,                   ,                           ,
l'oeil               ,eye            ,Noun           ,                   ,                           ,
la face              ,face           ,Noun           ,                   ,                           ,
la chute             ,fall           ,Noun           ,season             ,                           ,
la famille           ,family         ,Noun           ,                   ,                           ,
le célèbre           ,famous         ,Noun           ,                   ,                           ,
le fan               ,fan            ,Noun           ,electric           ,                           ,
le fan               ,fan            ,Noun           ,sport              ,                           ,
loin                 ,far            ,Adverb         ,                   ,                           ,
la ferme             ,farm           ,Noun           ,                   ,                           ,
le rapide            ,fast           ,Noun           ,                   ,                           ,
le père              ,father         ,Noun           ,                   ,                           ,
la femelle           ,female         ,Noun           ,                   ,                           ,
le quinze            ,fifteen        ,Noun           ,                   ,                           ,
le cinquième         ,fifth          ,Noun           ,5th                ,                           ,
les cinquante        ,fifty          ,Noun           ,                   ,                           ,
le doigt             ,finger         ,Noun           ,                   ,                           ,
le feu               ,fire           ,Noun           ,                   ,                           ,
la première          ,first          ,Noun           ,1st                ,                           ,
le poisson           ,fish           ,Noun           ,                   ,                           ,
les cinq             ,five           ,Noun           ,                   ,                           ,
appartement          ,flat           ,Adjective      ,                   ,                           ,
le plancher          ,floor          ,Noun           ,                   ,                           ,
la fleur             ,flower         ,Noun           ,                   ,                           ,
la nourriture        ,food           ,Noun           ,                   ,                           ,
le pied              ,foot           ,Noun           ,body part          ,                           ,
le pied              ,foot           ,Noun           ,measurement        ,                           ,
la forêt             ,forest         ,Noun           ,                   ,                           ,
la fourchette        ,fork           ,Noun           ,                   ,                           ,
les quarante         ,forty          ,Noun           ,                   ,                           ,
les quatre           ,four           ,Noun           ,                   ,                           ,
les quatorze         ,fourteen       ,Noun           ,                   ,                           ,
le quatrième         ,fourth         ,Noun           ,4th                ,                           ,
l'ami                ,friend         ,Noun           ,                   ,                           ,
le devant            ,front          ,Noun           ,                   ,                           ,
le jeu               ,game           ,Noun           ,                   ,                           ,
le jardin            ,garden         ,Noun           ,                   ,                           ,
l'essence            ,gasoline       ,Noun           ,                   ,                           ,
le cadeau            ,gift           ,Noun           ,                   ,                           ,
la fille             ,girl           ,Noun           ,                   ,                           ,
la petite amie       ,girlfriend     ,Noun           ,                   ,                           ,
le verre             ,glass          ,Noun           ,                   ,                           ,
l'or                 ,gold           ,Noun           ,                   ,                           ,
le bon               ,good           ,Noun           ,                   ,"better, best"             ,
le grand-père        ,grandfather    ,Noun           ,                   ,                           ,
la grand-mère        ,grandmother    ,Noun           ,                   ,                           ,
l'herbe              ,grass          ,Noun           ,                   ,                           ,
le gris              ,gray           ,Noun           ,                   ,                           ,
le vert              ,green          ,Noun           ,                   ,                           ,
le sol               ,ground         ,Noun           ,                   ,                           ,
le pistolet          ,gun            ,Noun           ,                   ,                           ,
les cheveux          ,hair           ,Noun           ,                   ,                           ,
la demi              ,half           ,Noun           ,                   ,                           ,
la main              ,hand           ,Noun           ,                   ,                           ,
l'heureux            ,happy          ,Noun           ,                   ,                           ,
le dur               ,hard           ,Noun           ,                   ,                           ,
le chapeau           ,hat            ,Noun           ,                   ,                           ,
il                   ,he             ,Pronoun        ,                   ,"his, him, himself"        ,
la tête              ,head           ,Noun           ,                   ,                           ,
la bonne santé       ,healthy        ,Noun           ,                   ,                           ,
l'entendre           ,hear           ,Noun           ,a sound            ,                           ,
le cœur              ,heart          ,Noun           ,                   ,                           ,
la chaleur           ,heat           ,Noun           ,                   ,                           ,
le paradis           ,heaven         ,Noun           ,                   ,                           ,
le lourd             ,heavy          ,Noun           ,                   ,                           ,
l'enfer              ,hell           ,Noun           ,                   ,                           ,
le haut              ,high           ,Noun           ,                   ,                           ,
la colline           ,hill           ,Noun           ,                   ,                           ,
Le trou              ,hole           ,Noun           ,                   ,                           ,
le cheval            ,horse          ,Noun           ,                   ,                           ,
l'hôpital            ,hospital       ,Noun           ,                   ,                           ,
le chaud             ,hot            ,Noun           ,                   ,                           ,
l'hôtel              ,hotel          ,Noun           ,                   ,                           ,
l'heure              ,hour           ,Noun           ,                   ,                           ,
la maison            ,house          ,Noun           ,                   ,                           ,
l'humain             ,human          ,Noun           ,                   ,                           ,
la centaine          ,hundred        ,Noun           ,                   ,                           ,
le mari              ,husband        ,Noun           ,                   ,                           ,
la glace             ,ice            ,Noun           ,                   ,                           ,
l'image              ,image          ,Noun           ,                   ,                           ,
le pouce             ,inch           ,Noun           ,                   ,                           ,
la blessure          ,injury         ,Noun           ,                   ,                           ,
l'intérieur          ,inside         ,Noun           ,                   ,                           ,
L'instrument         ,instrument     ,Noun           ,musical            ,                           ,
intéressant          ,interesting    ,Adjective      ,                   ,                           ,
l'Ile                ,island         ,Noun           ,                   ,                           ,
le ça                ,it             ,Noun           ,                   ,                           ,
le travail           ,job            ,Noun           ,                   ,                           ,
le juge              ,judge          ,Noun           ,Job                ,                           ,
le jus               ,juice          ,Noun           ,                   ,                           ,
la clé               ,key            ,Noun           ,                   ,                           ,
le kilogramme        ,kilogram       ,Noun           ,                   ,                           ,
le roi               ,king           ,Noun           ,                   ,                           ,
la cuisine           ,kitchen        ,Noun           ,                   ,                           ,
le genou             ,knee           ,Noun           ,                   ,                           ,
le couteau           ,knife          ,Noun           ,                   ,                           ,
le lac               ,lake           ,Noun           ,                   ,                           ,
la lampe             ,lamp           ,Noun           ,                   ,                           ,
Le pc portable       ,laptop         ,Noun           ,                   ,                           ,
l'avocat             ,lawyer         ,Noun           ,                   ,                           ,
la feuille           ,leaf           ,Noun           ,                   ,                           ,
la gauche            ,left           ,Noun           ,direction          ,                           ,
la jambe             ,leg            ,Noun           ,                   ,                           ,
le citron            ,lemon          ,Noun           ,                   ,                           ,
la lettre            ,letter         ,Noun           ,                   ,                           ,
la bibliothèque      ,library        ,Noun           ,                   ,                           ,
le mensonge          ,lie            ,Noun           ,                   ,                           ,
lumière              ,light          ,Adjective      ,/dark              ,                           ,
lumière              ,light          ,Adjective      ,/heavy             ,                           ,
la lumière           ,light          ,Noun           ,                   ,                           ,
la lèvre             ,lip            ,Noun           ,                   ,                           ,
la liste             ,list           ,Noun           ,                   ,                           ,
l'emplacement        ,location       ,Noun           ,                   ,                           ,
le verrou            ,lock           ,Noun           ,                   ,                           ,
le long              ,long           ,Noun           ,                   ,                           ,
le lâche             ,loose          ,Noun           ,                   ,                           ,
le fort              ,loud           ,Noun           ,                   ,                           ,
le bas               ,low            ,Noun           ,                   ,                           ,
le déjeuner          ,lunch          ,Noun           ,                   ,                           ,
le magazine          ,magazine       ,Noun           ,                   ,                           ,
le mâle              ,male           ,Noun           ,                   ,                           ,
l'homme              ,man            ,Noun           ,                   ,                           ,
le directeur         ,manager        ,Noun           ,                   ,                           ,
la carte             ,map            ,Noun           ,                   ,                           ,
le marché            ,market         ,Noun           ,                   ,                           ,
le mariage           ,marriage       ,Noun           ,                   ,                           ,
le matériel          ,material       ,Noun           ,                   ,                           ,
la moyenne           ,mean           ,Noun           ,/nice              ,                           ,
la médecine          ,medicine       ,Noun           ,                   ,                           ,
le désordre          ,mess           ,Noun           ,                   ,                           ,
le métal             ,metal          ,Noun           ,                   ,                           ,
le mètre             ,meter          ,Noun           ,                   ,                           ,
le lait              ,milk           ,Noun           ,                   ,                           ,
le million           ,million        ,Noun           ,                   ,                           ,
la minute            ,minute         ,Noun           ,                   ,                           ,
la mère              ,mom            ,Noun           ,                   ,Mommy                      ,
l'argent             ,money          ,Noun           ,                   ,                           ,
le mois              ,month          ,Noun           ,                   ,                           ,
la lune              ,moon           ,Noun           ,                   ,                           ,
le matin             ,morning        ,Noun           ,                   ,                           ,
la mère              ,mother         ,Noun           ,                   ,                           ,
la montagne          ,mountain       ,Noun           ,                   ,                           ,
la souris            ,mouse          ,Noun           ,                   ,                           ,
la bouche            ,mouth          ,Noun           ,                   ,                           ,
le film              ,movie          ,Noun           ,                   ,                           ,
le meurtrier         ,murder         ,Noun           ,                   ,                           ,
la musique           ,music          ,Noun           ,                   ,                           ,
l'étroit             ,narrow         ,Noun           ,                   ,                           ,
la nature            ,nature         ,Noun           ,                   ,                           ,
à proximité          ,near           ,Adverb         ,                   ,                           ,
le cou               ,neck           ,Noun           ,                   ,                           ,
l'aiguille           ,needle         ,Noun           ,                   ,                           ,
le voisin            ,neighbor       ,Noun           ,                   ,                           ,
ni                   ,neither        ,Adverb         ,                   ,                           ,
le réseau            ,network        ,Noun           ,                   ,                           ,
le nouveau           ,new            ,Noun           ,                   ,                           ,
le journal           ,newspaper      ,Noun           ,                   ,                           ,
le gentil            ,nice           ,Noun           ,                   ,                           ,
