nl                        ,en             ,Part of Speech ,Notes              ,Related                    ,
de nacht                  ,night          ,Noun           ,                   ,                           ,
de negen                  ,nine           ,Noun           ,                   ,                           ,
de negentien              ,nineteen       ,Noun           ,                   ,                           ,
de negentig               ,ninety         ,Noun           ,                   ,                           ,
de nee                    ,no             ,Noun           ,                   ,                           ,
noch                      ,nor            ,Conjunction    ,                   ,                           ,
het noorden               ,north          ,Noun           ,                   ,                           ,
de neus                   ,nose           ,Noun           ,                   ,                           ,
de notitie                ,note           ,Noun           ,on paper           ,                           ,
het niets                 ,nothing        ,Noun           ,                   ,                           ,
de nucleaire              ,nuclear        ,Noun           ,                   ,                           ,
het nummer                ,number         ,Noun           ,                   ,                           ,
de oceaan                 ,ocean          ,Noun           ,                   ,                           ,
het kantoor               ,office         ,Noun           ,                   ,                           ,
de olie                   ,oil            ,Noun           ,                   ,                           ,
de oude                   ,old            ,Noun           ,/new               ,                           ,
de oude                   ,old            ,Noun           ,/young             ,                           ,
degene                    ,one            ,Noun           ,                   ,                           ,
de honderd                ,one hundred    ,Noun           ,                   ,                           ,
die ene miljoen           ,one million    ,Noun           ,                   ,                           ,
de duizend                ,one thousand   ,Noun           ,                   ,                           ,
of                        ,or             ,Conjunction    ,                   ,                           ,
De sinaasappel            ,orange         ,Noun           ,color              ,                           ,
De sinaasappel            ,orange         ,Noun           ,food               ,                           ,
buiten                    ,outside        ,Noun           ,                   ,                           ,
de pagina                 ,page           ,Noun           ,                   ,                           ,
de pijn                   ,pain           ,Noun           ,                   ,                           ,
de verf                   ,paint          ,Noun           ,                   ,                           ,
de broek                  ,pants          ,Noun           ,                   ,                           ,
de krant                  ,paper          ,Noun           ,                   ,                           ,
de ouder                  ,parent         ,Noun           ,                   ,                           ,
het park                  ,park           ,Noun           ,location           ,                           ,
de patient                ,patient        ,Noun           ,                   ,                           ,
het patroon               ,pattern        ,Noun           ,                   ,                           ,
de vrede                  ,peace          ,Noun           ,                   ,                           ,
de pen                    ,pen            ,Noun           ,                   ,                           ,
het potlood               ,pencil         ,Noun           ,                   ,                           ,
de persoon                ,person         ,Noun           ,                   ,                           ,
de telefoon               ,phone          ,Noun           ,                   ,                           ,
de foto                   ,photograph     ,Noun           ,                   ,                           ,
het stuk                  ,piece          ,Noun           ,                   ,                           ,
het varken                ,pig            ,Noun           ,                   ,                           ,
de roze                   ,pink           ,Noun           ,                   ,                           ,
het plan                  ,plan           ,Noun           ,                   ,                           ,
het vliegtuig             ,plane          ,Noun           ,                   ,                           ,
de plant                  ,plant          ,Noun           ,                   ,                           ,
het plastic               ,plastic        ,Noun           ,                   ,                           ,
het bord                  ,plate          ,Noun           ,                   ,                           ,
de speler                 ,player         ,Noun           ,                   ,                           ,
de zak                    ,pocket         ,Noun           ,                   ,                           ,
het vergif                ,poison         ,Noun           ,                   ,                           ,
de politie                ,police         ,Noun           ,                   ,                           ,
het zwembad               ,pool           ,Noun           ,                   ,                           ,
de armen                  ,poor           ,Noun           ,                   ,                           ,
het varkensvlees          ,pork           ,Noun           ,                   ,                           ,
mogelijk                  ,possibly       ,Adverb         ,                   ,                           ,
de pond                   ,pound          ,Noun           ,weight             ,                           ,
de president              ,president      ,Noun           ,                   ,                           ,
de prijs                  ,price          ,Noun           ,                   ,                           ,
de priester               ,priest         ,Noun           ,                   ,                           ,
de gevangenis             ,prison         ,Noun           ,                   ,                           ,
privaat                   ,private        ,Adjective      ,                   ,                           ,
het programma             ,program        ,Noun           ,computer           ,                           ,
openbaar                  ,public         ,Adjective      ,                   ,                           ,
de koningin               ,queen          ,Noun           ,                   ,                           ,
de stilte                 ,quiet          ,Noun           ,                   ,                           ,
de race                   ,race           ,Noun           ,ethnicity          ,                           ,
de race                   ,race           ,Noun           ,sport              ,                           ,
de radio                  ,radio          ,Noun           ,                   ,                           ,
de regen                  ,rain           ,Noun           ,                   ,                           ,
het Rode                  ,red            ,Noun           ,                   ,                           ,
het geloof                ,religion       ,Noun           ,                   ,                           ,
de verslaggever           ,reporter       ,Noun           ,                   ,                           ,
het restaurant            ,restaurant     ,Noun           ,                   ,                           ,
de rijst                  ,rice           ,Noun           ,                   ,                           ,
de rijke                  ,rich           ,Noun           ,                   ,                           ,
het recht                 ,right          ,Noun           ,direction          ,                           ,
de ring                   ,ring           ,Noun           ,                   ,                           ,
de rivier                 ,river          ,Noun           ,                   ,                           ,
het dak                   ,roof           ,Noun           ,                   ,                           ,
de Kamer                  ,room           ,Noun           ,in a house         ,                           ,
de wortel                 ,root           ,Noun           ,                   ,                           ,
het trieste               ,sad            ,Noun           ,                   ,                           ,
het zout                  ,salt           ,Noun           ,                   ,                           ,
het zand                  ,sand           ,Noun           ,                   ,                           ,
de school                 ,school         ,Noun           ,                   ,                           ,
de wetenschap             ,science        ,Noun           ,                   ,                           ,
het scherm                ,screen         ,Noun           ,                   ,                           ,
de zee                    ,sea            ,Noun           ,                   ,                           ,
het seizoen               ,season         ,Noun           ,                   ,                           ,
de seconde                ,second         ,Noun           ,2nd                ,                           ,
de seconde                ,second         ,Noun           ,time               ,                           ,
de secretaris             ,secretary      ,Noun           ,                   ,                           ,
het zaad                  ,seed           ,Noun           ,                   ,                           ,
de zeven                  ,seven          ,Noun           ,                   ,                           ,
de zeventien              ,seventeen      ,Noun           ,                   ,                           ,
de zeventig               ,seventy        ,Noun           ,                   ,                           ,
de seks                   ,sex            ,Noun           ,act                ,                           ,
de seks                   ,sex            ,Noun           ,gender             ,                           ,
het ondiepe               ,shallow        ,Noun           ,                   ,                           ,
de zij                    ,she            ,Noun           ,                   ,"her, hers, herself"       ,
het schip                 ,ship           ,Noun           ,                   ,                           ,
het shirt                 ,shirt          ,Noun           ,                   ,                           ,
de schoenen               ,shoes          ,Noun           ,                   ,                           ,
kort                      ,short          ,Adjective      ,long               ,                           ,
kort                      ,short          ,Adjective      ,vs. tall           ,                           ,
de schouder               ,shoulder       ,Noun           ,                   ,                           ,
de zieke                  ,sick           ,Noun           ,                   ,                           ,
de kant                   ,side           ,Noun           ,                   ,                           ,
het teken                 ,sign           ,Noun           ,                   ,                           ,
het zilver                ,silver         ,Noun           ,                   ,                           ,
de zus                    ,sister         ,Noun           ,                   ,                           ,
De zes                    ,six            ,Noun           ,                   ,                           ,
de zestien                ,sixteen        ,Noun           ,                   ,                           ,
de zestig                 ,sixty          ,Noun           ,                   ,                           ,
de huid                   ,skin           ,Noun           ,                   ,                           ,
de rok                    ,skirt          ,Noun           ,                   ,                           ,
de lucht                  ,sky            ,Noun           ,                   ,                           ,
de langzamen              ,slow           ,Noun           ,                   ,                           ,
het kleine/kleine         ,small/little   ,Noun           ,                   ,                           ,
de sneeuw                 ,snow           ,Noun           ,                   ,                           ,
de zeep                   ,soap           ,Noun           ,                   ,                           ,
zacht                     ,soft           ,Noun           ,                   ,                           ,
de bodem/aarde            ,soil/earth     ,Noun           ,                   ,                           ,
de soldaat                ,soldier        ,Noun           ,                   ,                           ,
de zoon                   ,son            ,Noun           ,                   ,                           ,
het lied                  ,song           ,Noun           ,                   ,                           ,
het geluid                ,sound          ,Noun           ,                   ,                           ,
de soep                   ,soup           ,Noun           ,                   ,                           ,
het zuiden                ,south          ,Noun           ,                   ,                           ,
de ruimte                 ,space          ,Noun           ,outer space        ,                           ,
de lepel                  ,spoon          ,Noun           ,                   ,                           ,
de sport                  ,sport          ,Noun           ,                   ,                           ,
de lente                  ,spring         ,Noun           ,season             ,                           ,
het plein                 ,square         ,Noun           ,                   ,                           ,
de vlek                   ,stain          ,Noun           ,                   ,                           ,
de ster                   ,star           ,Noun           ,                   ,                           ,
het station               ,station        ,Noun           ,                   ,                           ,
de steen                  ,stone          ,Noun           ,                   ,                           ,
de winkel/winkel          ,store/shop     ,Noun           ,                   ,                           ,
het rechte stuk           ,straight       ,Noun           ,                   ,                           ,
de straat/weg             ,street/road    ,Noun           ,                   ,                           ,
de sterke                 ,strong         ,Noun           ,                   ,                           ,
de student                ,student        ,Noun           ,                   ,                           ,
de suiker                 ,sugar          ,Noun           ,                   ,                           ,
het pak                   ,suit           ,Noun           ,                   ,                           ,
de zomer                  ,summer         ,Noun           ,                   ,                           ,
de zon                    ,sun            ,Noun           ,                   ,                           ,
het zweet                 ,sweat          ,Noun           ,                   ,                           ,
de tafel                  ,table          ,Noun           ,                   ,                           ,
de grote                  ,tall           ,Noun           ,                   ,                           ,
de thee                   ,tea            ,Noun           ,                   ,                           ,
de leraar                 ,teacher        ,Noun           ,                   ,                           ,
het team                  ,team           ,Noun           ,                   ,                           ,
de traan                  ,tear           ,Noun           ,drop               ,                           ,
de technologie            ,technology     ,Noun           ,                   ,                           ,
de telefoon_              ,telephone_     ,Noun           ,                   ,                           ,
de televisie              ,television     ,Noun           ,                   ,                           ,
de temperatuur            ,temperature    ,Noun           ,                   ,                           ,
de tien                   ,ten            ,Noun           ,                   ,                           ,
de tienduizend            ,ten thousand   ,Noun           ,                   ,                           ,
het theater               ,theater        ,Noun           ,                   ,                           ,
zij                       ,they           ,Pronoun        ,                   ,"them, their, theirs"      ,
de dikke                  ,thick          ,Noun           ,                   ,                           ,
de dunne                  ,thin           ,Noun           ,                   ,                           ,
de derde                  ,third          ,Noun           ,3rd                ,                           ,
de dertien                ,thirteen       ,Noun           ,                   ,                           ,
de dertig                 ,thirty         ,Noun           ,                   ,                           ,
de duizend                ,thousand       ,Noun           ,                   ,                           ,
de boom                   ,three          ,Noun           ,                   ,                           ,
het ticket                ,ticket         ,Noun           ,train              ,                           ,
de strakke                ,tight          ,Noun           ,                   ,                           ,
de tijd                   ,time           ,Noun           ,                   ,                           ,
de band                   ,tire           ,Noun           ,of a car           ,                           ,
zijn                      ,to be          ,Verb           ,                   ,                           ,
verslaan                  ,to beat        ,Verb           ,                   ,                           ,
beginnen                  ,to begin       ,Verb           ,                   ,                           ,
buigen                    ,to bend        ,Verb           ,                   ,                           ,
breken                    ,to break       ,Verb           ,                   ,                           ,
koken                     ,to boil        ,Verb           ,                   ,                           ,
bouwen                    ,to build       ,Verb           ,                   ,                           ,
verbranden                ,to burn        ,Verb           ,                   ,                           ,
kopen                     ,to buy         ,Verb           ,                   ,                           ,
bellen                    ,to call        ,Verb           ,                   ,                           ,
dragen                    ,to carry       ,Verb           ,                   ,                           ,
annuleren                 ,to cancel      ,Verb           ,                   ,                           ,
zorgen                    ,to care        ,Verb           ,                   ,                           ,
vangen                    ,to catch       ,Verb           ,                   ,                           ,
veroorzaken               ,to cause       ,Verb           ,                   ,                           ,
om schoon te maken        ,to clean       ,Verb           ,                   ,                           ,
sluiten                   ,to close       ,Verb           ,                   ,                           ,
komen                     ,to come        ,Verb           ,                   ,                           ,
vergelijken               ,to compare     ,Verb           ,                   ,                           ,
concurreren               ,to compete     ,Verb           ,                   ,                           ,
verbinden                 ,to connect     ,Verb           ,                   ,                           ,
koken                     ,to cook        ,Verb           ,                   ,                           ,
tellen                    ,to count       ,Verb           ,                   ,                           ,
huilen                    ,to cry         ,Verb           ,                   ,                           ,
snijden                   ,to cut         ,Verb           ,                   ,                           ,
dansen                    ,to dance       ,Verb           ,                   ,                           ,
verdienen                 ,to deserve     ,Verb           ,                   ,                           ,
sterven                   ,to die         ,Verb           ,                   ,                           ,
graven                    ,to dig         ,Verb           ,                   ,                           ,
Te doen                   ,to do          ,Verb           ,                   ,                           ,
naar beneden              ,to down        ,Verb           ,                   ,                           ,
tekenen                   ,to draw        ,Verb           ,                   ,                           ,
kleden                    ,to dress       ,Verb           ,                   ,                           ,
drinken                   ,to drink       ,Verb           ,                   ,                           ,
rijden                    ,to drive       ,Verb           ,                   ,                           ,
eten                      ,to eat         ,Verb           ,                   ,                           ,
genieten                  ,to enjoy       ,Verb           ,                   ,                           ,
ontploffen                ,to explode     ,Verb           ,                   ,                           ,
vallen                    ,to fall        ,Verb           ,                   ,                           ,
voeden                    ,to feed        ,Verb           ,                   ,                           ,
vechten                   ,to fight       ,Verb           ,                   ,                           ,
vinden                    ,to find        ,Verb           ,                   ,                           ,
af te maken               ,to finish      ,Verb           ,                   ,                           ,
repareren                 ,to fix         ,Verb           ,                   ,                           ,
vliegen                   ,to fly         ,Verb           ,                   ,                           ,
volgen                    ,to follow      ,Verb           ,                   ,                           ,
geven                     ,to give        ,Verb           ,                   ,                           ,
gaan                      ,to go          ,Verb           ,                   ,                           ,
groeien                   ,to grow        ,Verb           ,                   ,                           ,
hangen                    ,to hang        ,Verb           ,                   ,                           ,
hebben                    ,to have        ,Verb           ,                   ,                           ,
helpen                    ,to help        ,Verb           ,                   ,                           ,
vasthouden                ,to hold        ,Verb           ,                   ,                           ,
springen                  ,to jump        ,Verb           ,                   ,                           ,
houden                    ,to keep        ,Verb           ,                   ,                           ,
vermoorden                ,to kill        ,Verb           ,                   ,                           ,
kussen                    ,to kiss        ,Verb           ,                   ,                           ,
lachen                    ,to laugh       ,Verb           ,                   ,                           ,
leren                     ,to learn       ,Verb           ,                   ,                           ,
optillen                  ,to lift        ,Verb           ,                   ,                           ,
luisteren                 ,to listen      ,Verb           ,to music           ,                           ,
verliezen                 ,to lose        ,Verb           ,                   ,                           ,
houden van                ,to love        ,Verb           ,                   ,                           ,
trouwen                   ,to marry       ,Verb           ,                   ,                           ,
ontmoeten                 ,to meet        ,Verb           ,                   ,                           ,
smelten                   ,to melt        ,Verb           ,                   ,                           ,
noemen                    ,to mention     ,Verb           ,                   ,                           ,
mengen/roeren             ,to mix/stir    ,Verb           ,                   ,                           ,
openen                    ,to open        ,Verb           ,                   ,                           ,
slagen                    ,to pass        ,Verb           ,                   ,                           ,
betalen                   ,to pay         ,Verb           ,                   ,                           ,
spelen                    ,to play        ,Verb           ,                   ,                           ,
bidden                    ,to pray        ,Verb           ,                   ,                           ,
trekken                   ,to pull        ,Verb           ,                   ,                           ,
duwen                     ,to push        ,Verb           ,                   ,                           ,
zetten                    ,to put         ,Verb           ,                   ,                           ,
respecteren               ,to respect     ,Verb           ,                   ,                           ,
rennen                    ,to run         ,Verb           ,                   ,                           ,
zien                      ,to see         ,Verb           ,a bird             ,                           ,
verkopen                  ,to sell        ,Verb           ,                   ,                           ,
schudden                  ,to shake       ,Verb           ,                   ,                           ,
de om te schieten         ,to shoot       ,Noun           ,a gun              ,                           ,
ondertekenen              ,to sign        ,Verb           ,                   ,                           ,
zingen                    ,to sing        ,Verb           ,                   ,                           ,
zitten                    ,to sit         ,Verb           ,                   ,                           ,
slapen                    ,to sleep       ,Verb           ,                   ,                           ,
ruiken                    ,to smell       ,Verb           ,                   ,                           ,
glimlachen                ,to smile       ,Verb           ,                   ,                           ,
spreken/zeggen            ,to speak/say   ,Verb           ,                   ,                           ,
spenderen                 ,to spend       ,Verb           ,                   ,                           ,
staan                     ,to stand       ,Verb           ,                   ,                           ,
te blijven                ,to stay        ,Verb           ,                   ,                           ,
stoppen                   ,to stop        ,Verb           ,                   ,                           ,
verrassen                 ,to surprise    ,Verb           ,                   ,                           ,
zwemmen                   ,to swim        ,Verb           ,                   ,                           ,
nemen                     ,to take        ,Verb           ,                   ,                           ,
proeven                   ,to taste       ,Verb           ,                   ,                           ,
leren                     ,to teach       ,Verb           ,                   ,                           ,
denken                    ,to think       ,Verb           ,                   ,                           ,
gooien                    ,to throw       ,Verb           ,                   ,                           ,
aanraken                  ,to touch       ,Verb           ,                   ,                           ,
draaien                   ,to turn        ,Verb           ,                   ,                           ,
omhoog                    ,to up          ,Verb           ,                   ,                           ,
lopen                     ,to walk        ,Verb           ,                   ,                           ,
Wassen                    ,to wash        ,Verb           ,                   ,                           ,
kijken                    ,to watch       ,Verb           ,(TV)               ,                           ,
dragen                    ,to wear        ,Verb           ,                   ,                           ,
dragen                    ,to wear        ,Verb           ,                   ,                           ,
winnen                    ,to win         ,Verb           ,                   ,                           ,
werken                    ,to work        ,Verb           ,                   ,                           ,
schrijven                 ,to write       ,Verb           ,                   ,                           ,
de teen                   ,toe            ,Noun           ,                   ,                           ,
de tong                   ,tongue         ,Noun           ,                   ,                           ,
het gereedschap           ,tool           ,Noun           ,                   ,                           ,
de tand                   ,tooth          ,Noun           ,                   ,                           ,
de top                    ,top            ,Noun           ,                   ,                           ,
de stad                   ,town           ,Noun           ,                   ,                           ,
de trein                  ,train          ,Noun           ,                   ,                           ,
het vervoer               ,transportation ,Noun           ,                   ,                           ,
de boom                   ,tree           ,Noun           ,                   ,                           ,
de vrachtwagen            ,truck          ,Noun           ,                   ,                           ,
de twaalf                 ,twelve         ,Noun           ,                   ,                           ,
de twintig                ,twenty         ,Noun           ,                   ,                           ,
de eenentwintig           ,twenty one     ,Noun           ,                   ,                           ,
de twee                   ,two            ,Noun           ,                   ,                           ,
de tweehonderd            ,two hundred    ,Noun           ,                   ,                           ,
de lelijke                ,ugly           ,Noun           ,                   ,                           ,
de oom                    ,uncle          ,Noun           ,                   ,                           ,
de Universiteit           ,university     ,Noun           ,                   ,                           ,
de up                     ,up             ,Noun           ,                   ,                           ,
de vallei                 ,valley         ,Noun           ,                   ,                           ,
het werkwoord             ,verb           ,Noun           ,                   ,                           ,
het slachtoffer           ,victim         ,Noun           ,                   ,                           ,
de stem                   ,voice          ,Noun           ,                   ,                           ,
de klinker                ,vowel          ,Noun           ,                   ,                           ,
de ober                   ,waiter         ,Noun           ,                   ,                           ,
de wake                   ,wake           ,Noun           ,                   ,                           ,
de muur                   ,wall           ,Noun           ,                   ,                           ,
de oorlog                 ,war            ,Noun           ,                   ,                           ,
warm                      ,warm           ,Adjective      ,                   ,                           ,
het water                 ,water          ,Noun           ,                   ,                           ,
de Golf                   ,wave           ,Noun           ,ocean              ,                           ,
wij                       ,we             ,Pronoun        ,                   ,"us, our, ours, ourselves" ,
De zwakken                ,weak           ,Noun           ,                   ,                           ,
de bruiloft               ,wedding        ,Noun           ,                   ,                           ,
de week                   ,week           ,Noun           ,                   ,                           ,
de week                   ,week           ,Noun           ,                   ,                           ,
het weekend               ,weekend        ,Noun           ,                   ,                           ,
wegen                     ,weigh          ,Verb           ,                   ,                           ,
het gewicht               ,weight         ,Noun           ,                   ,                           ,
het gewicht               ,weight         ,Noun           ,                   ,                           ,
de bron                   ,well           ,Noun           ,                   ,                           ,
het westen                ,west           ,Noun           ,                   ,                           ,
het westen                ,west           ,Noun           ,                   ,                           ,
de Western                ,western        ,Noun           ,                   ,                           ,
de natte                  ,wet            ,Noun           ,adj.               ,                           ,
de wat                    ,what           ,Noun           ,                   ,                           ,
het wanneer?              ,when           ,Noun           ,                   ,                           ,
de waar?                  ,where          ,Noun           ,                   ,                           ,
of                        ,whether        ,Adverb         ,                   ,                           ,
de welke                  ,which          ,Noun           ,                   ,                           ,
de tijd                   ,while          ,Noun           ,                   ,                           ,
de witte                  ,white          ,Noun           ,                   ,                           ,
de witte                  ,white          ,Noun           ,                   ,                           ,
De WHO                    ,who            ,Noun           ,                   ,                           ,
het geheel                ,whole          ,Noun           ,                   ,                           ,
het waarom                ,why            ,Noun           ,                   ,                           ,
de wijde                  ,wide           ,Noun           ,                   ,                           ,
de wijde                  ,wide           ,Noun           ,                   ,                           ,
de vrouw                  ,wife           ,Noun           ,                   ,                           ,
de vrouw                  ,wife           ,Noun           ,                   ,                           ,
het wild                  ,wild           ,Noun           ,                   ,                           ,
het testament             ,will           ,Noun           ,                   ,                           ,
de overwinning            ,win            ,Noun           ,                   ,                           ,
de wind                   ,wind           ,Noun           ,                   ,                           ,
de wind                   ,wind           ,Noun           ,                   ,                           ,
het raam                  ,window         ,Noun           ,                   ,                           ,
het raam                  ,window         ,Noun           ,                   ,                           ,
de wijn                   ,wine           ,Noun           ,                   ,                           ,
de wijn                   ,wine           ,Noun           ,                   ,                           ,
de vleugel                ,wing           ,Noun           ,                   ,                           ,
de vleugel                ,wing           ,Noun           ,                   ,                           ,
de winnaar                ,winner         ,Noun           ,                   ,                           ,
de winter                 ,winter         ,Noun           ,                   ,                           ,
de winter                 ,winter         ,Noun           ,                   ,                           ,
de draad                  ,wire           ,Noun           ,                   ,                           ,
de vrouw                  ,woman          ,Noun           ,                   ,                           ,
het hout                  ,wood           ,Noun           ,                   ,                           ,
de wereld                 ,world          ,Noun           ,                   ,                           ,
de tuin                   ,yard           ,Noun           ,                   ,                           ,
het jaar                  ,year           ,Noun           ,                   ,                           ,
de gele                   ,yellow         ,Noun           ,                   ,                           ,
het ja-woord              ,yes            ,Noun           ,                   ,                           ,
jij                       ,you            ,Pronoun        ,singular/plural    ,"your, yours, yourself"    ,
de jonge                  ,young          ,Noun           ,                   ,                           ,
de nul                    ,zero           ,Noun           ,                   ,                           ,
